brew_id,brew_date,bean_name,bean_origin_country,bean_origin_region,bean_variety,bean_process_method,bean_roast_date,bean_roast_level,bean_notes,grind_size,grind_model,brew_method,brew_device,kettle_type,scale_model,water_source,coffee_dose_grams,water_volume_ml,water_temp_degC,brew_bloom_time_s,brew_bloom_water_ml,brew_pulse_target_water_ml,brew_total_time_s,agitation_method,pour_technique,final_tds_percent,final_brew_mass_grams,score_overall_rating,score_notes,beans_days_since_roast,brew_ratio_to_1,final_extraction_yield_percent,score_strength_category,score_extraction_category,score_brewing_zone,score_flavor_profile_category,score_brew,bean_usage_count,score_avg_rating_this_bean,score_improvement_vs_last,coffee_grams_per_liter,raw_data_hash,calculation_version,last_processed_timestamp,mug_weight_grams,final_combined_weight_grams,archive_status,estimated_bag_size_grams,bean_purchase_date,water_temperature_c,notes,score_overall_rating_original,scoring_system_version,migration_timestamp,score_complexity,score_bitterness,score_mouthfeel,drawdown_time_s,num_pours,v60_swirl_after_bloom,v60_stir_before_drawdown,v60_final_swirl,hario_water_before_grinds,hario_valve_start_closed,hario_infusion_duration_s,hario_stir,hario_valve_release_time_s,hario_drawdown_time_s,aeropress_orientation,aeropress_steep_time_s,aeropress_swirl_before_press,aeropress_wait_after_swirl_s,aeropress_press_duration_s,frenchpress_initial_steep_s,frenchpress_break_crust,frenchpress_skim_foam,frenchpress_settling_time_s,frenchpress_plunge_depth,espresso_yield_g,espresso_shot_time_s,espresso_preinfusion_s,espresso_pressure_bar
1,2025-07-27,La Providencia,Colombia,,Cenicafe 1,Washed,2025-05-26,,,5.0,Fellow Ode Gen 2,Hoffman top up,V60 ceramic,,,,12.5,200.0,100.0,45.0,,,130.0,,Spiral,0.88,204.0,,,,16.0,14.36,Weak,Under,Under-Weak,,,3.0,2.0,,62.5,c77fd1f5bbfe48f4424a600f3e80cea3,1.2.0,2026-01-18T11:46:23.423668Z,,,archived,,,,,,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-07-29,La Providencia,Colombia,,Cenicafe 1,Washed,2025-05-26,,"Apple, Hazelnut, Caramel",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,14.8,250.0,97.0,45.0,55.6,,152.0,,Spiral,0.85,250.1,2.0,"Acidic, watery, sharp",,16.9,14.36,Weak,Under,Under-Weak,Bitter,2.8,3.0,2.0,,59.2,c576d63f240e4643c4223f421ae6e143,1.2.0,2026-01-18T11:46:23.423668Z,,,archived,,,,,4.0,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-07-29,La Providencia,Colombia,,Cenicafe 1,Washed,2025-05-26,,,5.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,15.1,250.0,97.0,45.0,50.0,50.0,162.0,,Spiral,0.91,228.0,2.0,"Chocolate, burn, a few layers",,16.6,13.74,Weak,Under,Under-Weak,Chocolatey,2.8,3.0,2.0,0.0,60.4,12f9554d4f357e805ae886143d4980d1,1.2.0,2026-01-18T11:46:23.423668Z,,,archived,,,,,4.2,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-07-29,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60,,,,15.2,250.0,97.0,45.0,54.0,50.0,190.0,,Spiral,0.8,223.0,2.5,"Sharp, sweet, hollow, chocolate, light",,16.4,11.74,Weak,Under,Under-Weak,,3.1,14.0,3.5,,60.8,9546cf12cb8c9fe4776461a35f70f489,1.2.0,2026-01-18T11:46:23.423668Z,,,archived,,,,,5.3,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-08-01,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,Chemex,,,,20.0,253.7,97.0,,53.8,50.0,240.0,,,1.22,217.90000000000003,3.0,"full body, bitter, bright finish",,12.7,13.29,Ideal,Under,Under-Ideal,Rich/Full,4.6,14.0,3.5,0.5,78.8,daf56e9769ea7df89d29276824a006d0,1.2.0,2026-01-18T11:46:23.423668Z,308.3,526.2,archived,,,,,5.8,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-08-01,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",4.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,20.0,250.0,100.0,45.0,60.0,50.0,238.0,,Spiral,1.45,207.20000000000005,3.0,"Chocolate, acid, light body",,12.5,15.02,Strong,Under,Under-Strong,Rich/Full,3.4,14.0,3.5,0.0,80.0,1563a4afa3d0800c35cf978a710f1ee8,1.2.0,2026-01-18T11:46:23.423668Z,308.9,516.1,archived,,,,,6.1,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-08-03,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",5.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,20.3,250.0,100.0,45.0,67.5,60.0,210.0,,Spiral,1.67,209.4,3.0,"Rich, rounded/soft, acidic, strong",,12.3,17.23,Strong,Under,Under-Strong,Rich/Full,3.4,14.0,3.5,0.0,81.2,feea2c5c81b404ced78b2bb071ff0578,1.2.0,2026-01-18T11:46:23.423668Z,253.9,463.3,archived,,,,,6.0,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-08-05,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,16.7,200.0,100.0,45.0,40.2,55.0,175.0,Stir,Spiral,1.62,168.09999999999997,3.0,"Spices, chocolate, light, soft",,12.0,16.31,Strong,Under,Under-Strong,Balanced,3.4,14.0,3.5,0.0,83.5,a68ca5fb58021a06fce7c73cbc11a1fc,1.2.0,2026-01-18T11:46:23.423668Z,298.8,466.9,archived,,,,,6.5,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-08-05,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",5.2,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,15.2,200.0,100.0,45.0,41.5,53.0,148.0,Stir,Spiral,1.36,171.8,4.0,"Bright, light, lemon",,13.2,15.37,Strong,Under,Under-Strong,Bright/Acidic,4.0,14.0,3.5,1.0,76.0,b3f63f65744df058569977621cfb7ac0,1.2.0,2026-01-18T11:46:23.423668Z,298.8,470.6,archived,,,,,8.2,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-08-06,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,17.7,250.0,100.0,45.0,59.2,63.0,205.0,Stir,Spiral,1.37,214.5,3.5,"Juicy, nutty, burn",,14.1,16.6,Strong,Under,Under-Strong,Nutty,3.7,14.0,3.5,-0.5,70.8,8ee3bfe812caaf848adb55c6eb36057e,1.2.0,2026-01-18T11:46:23.423668Z,308.9,523.4,archived,,,,,7.2,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2025-08-08,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,14.3,200.0,97.0,45.0,35.0,55.0,180.0,Stir,Spiral,1.38,172.5,4.5,"lemon, sweet, bright",,14.0,16.65,Strong,Under,Under-Strong,Sweet,4.3,14.0,3.5,1.0,71.5,8356157150b02d81cc8d6e26180bf9fa,1.2.0,2026-01-18T11:46:23.423668Z,303.9,476.4,archived,,,,,9.1,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2025-08-08,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,2 pulse V60,V60 ceramic,,,,14.4,200.0,96.0,40.0,40.0,80.0,135.0,Stir,Spiral,1.51,174.20000000000005,4.0,"tea, acid, bitter",,13.9,18.27,Strong,Ideal,Ideal-Strong,Bright/Acidic,5.2,14.0,3.5,-0.5,72.0,2da0907009818c339095c4fe3a77628c,1.2.0,2026-01-18T11:46:23.423668Z,303.9,478.1,archived,,,,,7.8,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2025-08-21,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,18.0,250.0,100.0,45.0,75.0,60.0,155.0,Stir,Spiral,1.29,220.49999999999991,4.0,"refreshing, bright, acidic",,13.9,15.8,Ideal,Under,Under-Ideal,Bright/Acidic,5.2,14.0,3.5,0.0,72.0,a91f47558aa8d852167ac746ff583628,1.2.0,2026-01-18T11:46:23.423668Z,308.8,529.3,archived,,,,,7.5,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,19.0,250.0,97.0,45.0,80.0,55.0,175.0,Stir,Spiral,1.33,209.7,4.0,"chocolate, soft, full, mellow",,13.2,14.68,Ideal,Under,Under-Ideal,Chocolatey,5.2,14.0,3.5,0.0,76.0,81d113dafa474b2a581800557ce4a711,1.2.0,2026-01-18T11:46:23.423668Z,308.8,518.5,archived,,,,,7.7,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,19.0,250.0,97.0,45.0,80.0,55.0,175.0,Stir,Spiral,1.33,209.7,4.0,"chocolate, soft, full, mellow",,13.2,14.68,Ideal,Under,Under-Ideal,Chocolatey,5.2,14.0,3.5,0.0,76.0,81d113dafa474b2a581800557ce4a711,1.2.0,2026-01-18T11:46:23.423668Z,308.8,518.5,archived,,,,,7.7,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,,,,,,,,,,,,2.5,,,,,,,,,,14.0,3.5,-1.5,,4c7b0a512e34bf04594dd9afbe1155f6,1.2.0,2026-01-18T11:46:23.423668Z,,,archived,,,,,5.0,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,21.1,250.0,94.0,45.0,60.0,95.0,165.0,Stir,Spiral,1.41,209.8,4.0,"nutty, chocolate, fresh",,11.8,14.02,Strong,Under,Under-Strong,Fruity,4.0,14.0,3.5,1.5,84.4,a5369ae70c6f47a32a512e2f9aee9052,1.2.0,2026-01-18T11:46:23.423668Z,308.8,518.6,archived,,,,,8.3,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2025-08-29,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,20.0,250.0,100.0,45.0,60.0,63.33,195.0,Stir,Spiral,1.44,211.40000000000003,4.0,"sweet citrus, fruity, tart, light",,12.5,15.22,Strong,Under,Under-Strong,Balanced,4.0,13.0,3.9,,80.0,c4dcc3ec57d01023ac7c020c74460ae8,1.2.0,2026-01-18T11:46:23.423668Z,308.8,520.2,archived,250.0,,,,8.1,3-factor-v1,2025-08-30T09:32:50.097468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2025-09-03,Orange Maria-Isabel,Colombia,Jardin,Geisha and Caturra,Other,2025-06-01,Light-Medium,"Fragrance: Caramel, vanilla, orange. Taste: Citrusy, honeyed, chocolate, lemongrass. Acidity: medium, citrusy. Body: Creamy",6.0,Fellow Ode Gen 2,2 pulse V60,V60 ceramic,,,,17.0,250.0,99.0,45.0,58.0,95.0,155.0,Stir,Spiral,1.1,218.90000000000003,4.0,"Great texture, balance and chocolatey mouth taste. Some acidity and bright mouthfeel, too.",,14.7,14.16,Weak,Under,Under-Weak,Balanced,4.0,13.0,3.9,0.0,68.0,9304f5db5926c12ebe0670ea7801e974,1.2.0,2026-01-18T11:46:23.423668Z,308.7,527.6,archived,250.0,,,,,3-factor-v1,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
