brew_id,brew_date,bean_name,bean_origin_country,bean_origin_region,bean_variety,bean_process_method,bean_roast_date,bean_roast_level,bean_notes,grind_size,grind_model,brew_method,brew_device,kettle_type,scale_model,water_source,coffee_dose_grams,water_volume_ml,water_temp_degC,brew_bloom_time_s,brew_bloom_water_ml,brew_pulse_target_water_ml,brew_total_time_s,agitation_method,pour_technique,final_tds_percent,final_brew_mass_grams,score_overall_rating,score_notes,beans_days_since_roast,brew_ratio_to_1,final_extraction_yield_percent,score_strength_category,score_extraction_category,score_brewing_zone,score_flavor_profile_category,score_brew,bean_usage_count,score_avg_rating_this_bean,score_improvement_vs_last,coffee_grams_per_liter,raw_data_hash,calculation_version,last_processed_timestamp,mug_weight_grams,final_combined_weight_grams,archive_status,estimated_bag_size_grams,bean_purchase_date,water_temperature_c,notes
1,2025-07-27,La Providencia,Colombia,,Cenicafe 1,Washed,2025-05-26,,,5.0,Fellow Ode Gen 2,Hoffman top up,V60 ceramic,,,,12.5,200.0,100.0,45.0,,,130.0,,Spiral,0.88,204.0,,,,16.0,14.36,Weak,Under,Under-Weak,,,3.0,4.1,,62.5,c77fd1f5bbfe48f4424a600f3e80cea3,1.2.0,2025-08-22T12:25:00.232402Z,,,archived,,,,
2,2025-07-29,La Providencia,Colombia,,Cenicafe 1,Washed,2025-05-26,,"Apple, Hazelnut, Caramel",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,14.8,250.0,97.0,45.0,55.6,,152.0,,Spiral,0.85,250.1,4.0,"Acidic, watery, sharp",,16.9,14.36,Weak,Under,Under-Weak,Bitter,4.0,3.0,4.1,,59.2,8a1145782a02073a3aaf9c3518d608ca,1.2.0,2025-08-22T12:25:00.232402Z,,,archived,,,,
3,2025-07-29,La Providencia,Colombia,,Cenicafe 1,Washed,2025-05-26,,,5.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,15.1,250.0,97.0,45.0,50.0,50.0,162.0,,Spiral,0.91,228.0,4.2,"Chocolate, burn, a few layers",,16.6,13.74,Weak,Under,Under-Weak,Chocolatey,4.1,3.0,4.1,0.2,60.4,42798e6bd10d9d3a147dd004c519313b,1.2.0,2025-08-22T12:25:00.232402Z,,,archived,,,,
4,2025-07-29,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60,,,,15.2,250.0,97.0,45.0,54.0,50.0,190.0,,Spiral,0.8,223.0,5.3,"Sharp, sweet, hollow, chocolate, light",,16.4,11.74,Weak,Under,Under-Weak,,4.8,13.0,6.9,,60.8,fb04ab9726a2528ede0f9242317f65db,1.2.0,2025-08-22T12:25:00.232402Z,,,active,,,,
5,2025-08-01,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,Chemex,,,,20.0,253.7,97.0,,53.8,50.0,240.0,,,1.22,217.90000000000003,5.8,"full body, bitter, bright finish",,12.7,13.29,Ideal,Under,Under-Ideal,Rich/Full,6.3,13.0,6.9,0.5,78.8,460c4aacb99e82fb884aa389b4788b51,1.2.0,2025-08-22T12:25:00.232402Z,308.3,526.2,active,,,,
6,2025-08-01,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",4.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,20.0,250.0,100.0,45.0,60.0,50.0,238.0,,Spiral,1.45,207.20000000000005,6.1,"Chocolate, acid, light body",,12.5,15.02,Strong,Under,Under-Strong,Rich/Full,5.3,13.0,6.9,0.3,80.0,e4f4d418b4aa986815c79059feea6028,1.2.0,2025-08-22T12:25:00.232402Z,308.9,516.1,active,,,,
7,2025-08-03,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",5.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,20.3,250.0,100.0,45.0,67.5,60.0,210.0,,Spiral,1.67,209.4,6.0,"Rich, rounded/soft, acidic, strong",,12.3,17.23,Strong,Under,Under-Strong,Rich/Full,5.2,13.0,6.9,-0.1,81.2,e210b3d88831c52e9ec160be3b67b8d4,1.2.0,2025-08-22T12:25:00.232402Z,253.9,463.3,active,,,,
8,2025-08-05,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,16.7,200.0,100.0,45.0,40.2,55.0,175.0,Stir,Spiral,1.62,168.09999999999997,6.5,"Spices, chocolate, light, soft",,12.0,16.31,Strong,Under,Under-Strong,Balanced,5.5,13.0,6.9,0.5,83.5,27a6b64b1a08341b7b6c4623bc8772cd,1.2.0,2025-08-22T12:25:00.232402Z,298.8,466.9,active,,,,
9,2025-08-05,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",5.2,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,15.2,200.0,100.0,45.0,41.5,53.0,148.0,Stir,Spiral,1.36,171.8,8.2,"Bright, light, lemon",,13.2,15.37,Strong,Under,Under-Strong,Bright/Acidic,6.5,13.0,6.9,1.7,76.0,5fd2858aa3370cc1415291396964422d,1.2.0,2025-08-22T12:25:00.232402Z,298.8,470.6,active,,,,
10,2025-08-06,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,17.7,250.0,100.0,45.0,59.2,63.0,205.0,Stir,Spiral,1.37,214.5,7.2,"Juicy, nutty, burn",,14.1,16.6,Strong,Under,Under-Strong,Nutty,5.9,13.0,6.9,-1.0,70.8,ca931a1a1a3e9a97c95353f63e60ee26,1.2.0,2025-08-22T12:25:00.232402Z,308.9,523.4,active,,,,
11,2025-08-08,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,14.3,200.0,97.0,45.0,35.0,55.0,180.0,Stir,Spiral,1.38,172.5,9.1,"lemon, sweet, bright",,14.0,16.65,Strong,Under,Under-Strong,Sweet,7.1,13.0,6.9,1.9,71.5,f45b6431c1d4905af359a98f457af005,1.2.0,2025-08-22T12:25:00.232402Z,303.9,476.4,active,,,,
12,2025-08-08,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,2 pulse V60,V60 ceramic,,,,14.4,200.0,96.0,40.0,40.0,80.0,135.0,Stir,Spiral,1.51,174.20000000000005,7.8,"tea, acid, bitter",,13.9,18.27,Strong,Ideal,Ideal-Strong,Bright/Acidic,7.5,13.0,6.9,-1.3,72.0,5eab8ae52c4d8fde2d5af56bdda1f713,1.2.0,2025-08-22T12:25:00.232402Z,303.9,478.1,active,,,,
16,2025-08-21,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,18.0,250.0,100.0,45.0,75.0,60.0,155.0,Stir,Spiral,1.29,220.49999999999991,7.5,"refreshing, bright, acidic",,13.9,15.8,Ideal,Under,Under-Ideal,Bright/Acidic,7.3,13.0,6.9,-0.3,72.0,fc352966cf4993681d49108160f1bdd2,1.2.0,2025-08-22T12:25:00.232402Z,308.8,529.3,active,,,,
1,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,19.0,250.0,97.0,45.0,80.0,55.0,175.0,Stir,Spiral,1.33,209.7,7.7,"chocolate, soft, full, mellow",,13.2,14.68,Ideal,Under,Under-Ideal,Chocolatey,7.4,13.0,6.9,0.2,76.0,c2d61147ce2e82fb7fef454debc813a1,1.2.0,2025-08-22T12:25:00.232402Z,308.8,518.5,active,,,,
1,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,19.0,250.0,97.0,45.0,80.0,55.0,175.0,Stir,Spiral,1.33,209.7,7.7,"chocolate, soft, full, mellow",,13.2,14.68,Ideal,Under,Under-Ideal,Chocolatey,7.4,13.0,6.9,0.0,76.0,c2d61147ce2e82fb7fef454debc813a1,1.2.0,2025-08-22T12:25:00.232402Z,308.8,518.5,active,,,,
17,2025-08-22,Gold Maria-Isabel,Colombia,Jardin,Arabica + Geisha,Honey,2025-06-01,Medium,"Citronella, Honey, Floral, Lemongrass",6.0,Fellow Ode Gen 2,3 pulse V60,V60 ceramic,,,,,,,,,,,,,,,5.0,,,,,,,,,,13.0,6.9,-2.7,,3f0a20975816ee5526f99ef7212b70d4,1.2.0,2025-08-22T12:25:00.232402Z,,,active,,,,
